dataset,filename,HBOS,CBLOF,LOF,COPOD,PCC,AutoEncoder (AE),DenoisingAutoEncoder (DAE),RobustPCA,Random Black Forest (RR),Torsk,Avg Ens.
settings_five,synthetic_batch_100.out,0.121124,5.248136,1.150138,0.15467,0.309132,0.232622,0.230489,0.291028,0.198282,24.004221,31.939842000000002
settings_five,synthetic_batch_101.out,0.121686,4.278941,1.146709,0.181099,0.305442,0.231817,0.234316,0.238513,0.213973,22.920624,29.87312
settings_five,synthetic_batch_102.out,0.120506,5.353021,1.112297,0.139836,0.307881,0.236453,0.228896,0.250531,0.218627,21.924007,29.892055
settings_five,synthetic_batch_103.out,0.123084,4.870611,1.127754,0.144669,0.301601,0.233081,0.232494,0.255051,0.202988,22.166009,29.657342
settings_five,synthetic_batch_104.out,0.121808,5.319841,1.08969,0.249024,,,,,,,6.7803629999999995
settings_five,synthetic_batch_105.out,0.122895,6.084501,1.086249,0.150039,0.295454,0.232691,0.236841,0.284135,0.20091,22.648583,31.342298
settings_five,synthetic_batch_106.out,0.124994,4.949486,1.094472,0.154143,0.269893,0.232378,0.232104,0.180115,0.199316,22.983165,30.420066
settings_five,synthetic_batch_107.out,0.123219,5.275253,1.091272,0.135889,0.288595,0.233971,0.234234,0.270088,0.191266,22.993588,30.837374999999998
settings_five,synthetic_batch_108.out,0.124434,5.489367,1.098848,0.140771,0.297418,0.247466,0.238827,0.178712,0.219154,21.644932,29.679929
settings_five,synthetic_batch_109.out,0.130733,4.904917,1.095099,0.136325,0.279117,0.22646,0.235443,0.254511,0.224332,24.255746,31.742683
settings_five,synthetic_batch_110.out,0.128828,4.495167,1.08884,0.132498,0.29543,0.23272,0.232624,0.165158,0.221446,24.095777,31.088487999999998
settings_five,synthetic_batch_111.out,0.149189,5.58654,1.084313,0.130239,0.288146,0.231567,0.232073,0.226678,0.213956,23.891781,32.034482000000004
settings_five,synthetic_batch_112.out,0.132869,5.500266,1.100203,0.131138,0.297649,0.23182,0.236014,0.1797,0.212328,21.459906,29.481893
settings_five,synthetic_batch_113.out,0.12457,4.915522,1.136248,0.130889,0.299394,0.235458,0.234712,0.241278,0.220838,25.062359,32.601268000000005
